add-yield-m,8,10000,160000,129572835,809,-1039
add-m,12,10000,240000,303327847,1263,-4151
add-yield-m,12,10000,240000,303327847,1263,-4151
add-c,1,10000,20000,611400,30,0
add-yield-c,1,10000,20000,611400,30,0
add-c,2,10000,40000,2206147,55,96
add-yield-c,2,10000,40000,2206147,55,96
add-c,4,10000,80000,5500683,68,-905
add-yield-c,4,10000,80000,5500683,68,-905
add-c,8,10000,160000,13226905,82,-2566
add-yield-c,8,10000,160000,13226905,82,-2566
add-c,12,10000,240000,18683349,77,-3335
add-yield-c,12,10000,240000,18683349,77,-3335
add-s,1,10000,20000,929962,46,0
add-yield-s,1,10000,20000,929962,46,0
add-s,2,10000,40000,11841639,296,-650
add-yield-s,2,10000,40000,11841639,296,-650
add-s,4,10000,80000,49064827,613,-912
add-yield-s,4,10000,80000,49064827,613,-912
add-s,8,10000,160000,142822656,892,-2754
add-yield-s,8,10000,160000,142822656,892,-2754
add-s,12,10000,240000,310165244,1292,-12502
add-yield-s,12,10000,240000,310165244,1292,-12502
